Area,Period,Text
Добрич,от 05.08.2024 г. до 09.08.2024 г. В периода 08:30 ч. до 16:30 ч.,"Поради извършване на неотложни ремонтни дейности на съоръженията за доставка на електроенергия , са възможни смущения на електрозахранването в районите на: град Ген. Тошево – ул. „Антон Страшимиров“ – 4, 7, 8, 9, 14; ул. „Йордан Йовков“ – 8; ул. „Васил Левски“ – 12, 13, 14, 26, 34, 118; ул. „Опълченска“ – 6, 10; ул. „Дора Габе“ – 2; ул. „Иван Вазов“ – 11, 15, 18, 24; ул. „П. Петков“ – 26, 38; ул. „Патриарх Евтимий“ – 20, 29, 35, 40, 41, 44; ул. „3 – ти март“ – 21, 23, 25, 29; ул. „Цвятко Радойнов“ - 8. Смущенията на електрозахранването ще бъдат в рамките на около 30 минути.
Публикувано на 01.08.2024 09:47"
Добрич,от 05.08.2024 г. до 09.08.2024 г. В периода 08:30 ч. до 16:30 ч.,"Поради извършване на неотложни ремонтни дейности на съоръженията за доставка на електроенергия , са възможни смущения на електрозахранването в районите на: град Балчик – местност „Белите скали“ ; местност „Изгрев“ ; местност „Момчил дере“ ; местност „Овчаровски плаж“ ; местност „Разкопки“ ; местност „Сборно място“ ; местност „Фиш – Фиш“ ; местност „Кулака“ ; ул. „Албена“ – 1 Вх. А, Б; ж. к „Балик“ – 34, 35, 36, 39, 40; ул. „Гео Милев“ – 8; ул. „Желязко Бончев“ – 4; ул. „Д-р Иван Пенаков“ – 11; ул. „Пейо Яворов“ – 13; ул. „Самара“ – 7; ул. „Славянска“ – 18; ул. „Черно море“ – 83, 89, 115. Смущенията на електрозахранването ще бъдат в рамките на около 30 минути.
Публикувано на 01.08.2024 09:48"
Добрич,от 05.08.2024 г. до 09.08.2024 г. В периода 08:30 ч. до 16:30 ч.,"Поради извършване на неотложни ремонтни дейности на съоръженията за доставка на електроенергия , са възможни смущения на електрозахранването в районите на: гр. Добрич – ул. „8-ми март“ – 6; ул. „Аврора“ – 3, 29, 31; ул. „Алеко Константинов“ – 1; ул. „Армейска“ – 34; ул. „Баба Парашкева“ – 16, 17, 19, 21, 22, 23, 24, 25, 27, 28, 31, 33; ул. „Баба Тонка“ – 47; ж. к „Балик“ – 20 вх. А, Б, В, Г, Д, Е; ж. к „Балик“ – 21 вх. Б, В, Д, Е; ж. к „Балик“ – 24 вх. А, Б, В, Г, Д, Е; ж. к „Балик“ – 45 вх. А, В, Г; ж. к „Балик“ – 46 вх. А, Б, В, Г; ж. к „Балик“ – 63 вх. Б, В; ул. „Балкан“ – 2, 19; ул. „Бачо Киро“ – 9, 11, 13, 29; ул. „Белмекен“ – 18; ул. „Бяла река“ – 18, 20, 24, 26; ул. „Вардар“ – 75, 77, 81, 88, 90, 92; ул. „Вежен“ – 15; ул. „Велико Търново“ – 10, 21, 33, 50; ул. „Вица Попова“ – 1; ул. „Гривица“ – 13, 17; ул. „Димитър Ковачев“ – 4, 6, 17, 19, 25, 27, 43, 44, 45, 46, 51, 53, 55, 60, 62, 66, 68; ж. к „Добротица“ – 7 вх. А, Б; ж. к „Добротица“ – 19 вх. А; ж. к „Добротица“ – 27 вх. А; ж. к „Добротица“ – 32 вх. А, В; ж. к „Добротица“ – 35 вх. А, Б; ж. к „Добротица“ – 40 вх. А; ж. к „Добротица“ – 68; ул. „Драва“ – 12, 15, 19, 27, 68; ж. к „Дружба“ – 3; ул. „Загоре“ – 25; ул. „Захари Стоянов“ – 49 вх. Б, В; 53 вх. А; ул. „Иван Георгиев“ – 28 вх. А, Б; ул. „Иван Шишман“ – 27, 44; ул. „Иларион Макариополски“ – 39, 44; ул. „Калиакра“ – 9, 25, 40, 42; ул. „Кап. Д. Списаревски“ – 47; ул. „Кирил и Методий“ – 32 вх. А, Б; ул. „Кубадин“ – 5, 7; ул. „Маргарита“ – 2, 6, 8, 10, 12; ул. „Михаил Андреев“ – 1, 3, 5, 7, 9, 11, 13; ул. „Митко Палаузов“ – 6, 7, 9, 12, 13; ул. „Надежда“ – 1, 2, 20; ул. „Опълченска“ – 51, 52, 57; ул. „Преслав“ – 8; ул. „Родопи“ – 3, 8, 13; ул. „Росица“ – 14, 16, 24; бул. „Русия“ – 124, 142, 158, 160, 170, 190; ул. „Сан Стефано“ – 1, 14; ул. „Софроний Врачански“ – 10, 16; ул. „Суха река“ – 14, 17; ул. „Теменуга“ – 12, 50; ул. „3 – ти март“ – 16 вх. А, Б; 20; ул. „Хаджи Димитър“ – 66; ул. „Хан Тервел“ – 128; ул. „Христо Ботев“ – 8, 16, 20, 22, 33, 35, 45; ул. „Чайка“ – 22, 30, 32, 34, 46; ул. „Чая“ ; ул. „Черно море“ – 1, 23, 31, 37. Смущенията на електрозахранването ще бъдат в рамките на около 30 минути.
Публикувано на 01.08.2024 09:50"
Добрич,от 05.08.2024 г. до 09.08.2024 г. В периода 08:30 ч. до 17:00 ч.,"Поради извършване на неотложни ремонтни дейности на съоръженията за доставка на електроенергия , ще бъде прекъснато електрозахранването в районите на: с. Крупен
Публикувано на 01.08.2024 13:16"
Добрич,от 05.08.2024 г. до 09.08.2024 г. В периода 08:30 ч. до 17:00 ч.,"Поради извършване на неотложни ремонтни дейности на съоръженията за доставка на електроенергия , ще бъде прекъснато електрозахранването в районите на: гр. Каварна: ул. „Васил Левски“; ул. „Георги Сотиров“; ул. „Сава Ганчев“; ул. „Христо Ботев“; ул. „Христо Смирненски“; ул. „Максим Горки“; ул. „Георги Бенковски“
Публикувано на 01.08.2024 14:01"
Добрич,от 05.08.2024 г. до 09.08.2024 г. В периода 08:30 ч. до 17:00 ч.,"Поради извършване на неотложни ремонтни дейности на съоръженията за доставка на електроенергия , ще бъде прекъснато електрозахранването в районите на: с. Чунчево
Публикувано на 01.08.2024 14:02"
Добрич,от 07.08.2024 г. до 09.08.2024 г. В периода 08:30 ч. до 17:00 ч.,"Поради извършване на неотложни ремонтни дейности на съоръженията за доставка на електроенергия , ще бъде прекъснато електрозахранването в районите на: с. Могилище
Публикувано на 01.08.2024 14:38"
Добрич,На 09.08.2024 г. В периода 08:00 ч. до 17:00 ч.,"Поради извършване на неотложни ремонтни дейности на съоръженията за доставка на електроенергия , ще бъде прекъснато електрозахранването в районите на: с. Рогозина
Публикувано на 06.08.2024 10:43"
Разград,от 06.08.2024 г. до 09.08.2024 г. В периода 08:30 ч. до 16:30 ч.,"Поради извършване на неотложни ремонтни дейности на съоръженията за доставка на електроенергия , ще бъде прекъснато електрозахранването в районите на: с. Драгомъж, чужди трафопостове: ТП ""Кариера Драгомъж"", ТП ""Овчарници Драгомъж"" .
Временни смущения в електрозахранването са възможни от 08:30 ч. до 16:00 ч. в районите на с. Малък Поровец, Воден - резерват, трафопостове : ТП 1 Драгомъж , ТП 1 Малък Поровец , ТП 2 Малък Поровец , ТП 3 Малък Поровец, чужди трафопостове: ПС ""Драгомъж"", ПС ""Малък Поровец"", БКТП ""Бен дор"", ПС ""Воден"", ТП ""Ловен дом""
Публикувано на 01.08.2024 11:31"
Разград,от 06.08.2024 г. до 09.08.2024 г. В периода 09:00 ч. до 16:30 ч.,"Поради извършване на неотложни ремонтни дейности на съоръженията за доставка на електроенергия , ще бъде прекъснато електрозахранването в районите на: с. Просторно, ТП 1 и улици: “Дунав“, “Никола Вапцаров“, „Чавдар войвода“, „Стара планина“, „Хаджи Димитър“, “Борисова“, “Гео Милев“, “Ангел Гецов“, „Антон Страшимиров“, „Баба Тонка“
Публикувано на 02.08.2024 13:26"
Разград,от 07.08.2024 г. до 09.08.2024 г. В периода 09:00 ч. до 16:30 ч.,"Поради извършване на неотложни ремонтни дейности на съоръженията за доставка на електроенергия , ще бъде прекъснато електрозахранването в районите на: с. Медовене, улици: ""Захари Стоянов"", ""Софроний Врачански"", ""Хан Кубрат"", ""Струма"", ""Димчо Дебелянов"", част от ""Лудогорие"", част от ""Преслав""
Публикувано на 01.08.2024 15:51"
Разград,от 08.08.2024 г. до 09.08.2024 г. В периода 09:00 ч. до 16:30 ч.,"Поради извършване на неотложни ремонтни дейности на съоръженията за доставка на електроенергия , ще бъде прекъснато електрозахранването в районите на: с. Раковски, ТП 1 и улици: ""Найден Киров"", ""Шипка"", ""Пирин"", ""Черно Море"", ""Марица"", ""Чудомир"", ""Чавдарци"", ""Родопи"", ""Места"", ""Люлин"", ""Митко Палаузов"", ""Огоста"", ""Иван Козарев"", ""Г. С. Раковски"", ""Д. Чинтулов"", ""Бачо Киро"", ""Маршал Жуков"", ""В. Петлешев"", ""Плиска"", ""Найден Киров"", ""1-ви Май"", ""Ален Мак"", ""Струма"", ""Мусала"", ""Странджа""
Публикувано на 02.08.2024 13:36"
Разград,На 09.08.2024 г. В периода 09:00 ч. до 16:30 ч.,"Поради извършване на неотложни ремонтни дейности на съоръженията за доставка на електроенергия , ще бъде прекъснато електрозахранването в районите на: с. Костанденец, улици: “Иван Вазов“, “Алеко Константинов“, „Витоша“, “Д.Чинтулов“, „Д-р Петър Берон“, “В. Левски“, “Гоце Делчев“, “Дондуков“, „Абритус“, „Братя Миладинови“
Публикувано на 06.08.2024 16:39"
Русе,от 05.08.2024 г. до 09.08.2024 г. В периода 08:30 ч. до 16:30 ч.,"Поради извършване на неотложни ремонтни дейности на съоръженията за доставка на електроенергия , ще бъде прекъснато електрозахранването в районите на: с. Сандрово, захранените от ТП ""СОМАТ"" на улиците: „Ангел Кънчев“, „Бузлуджа“, „Георги Бенковски“, „Панайот Волов“, „Панайот Хитов“, „Розова долина“, „Христо Ботев“, включително кабелни оператори за ТВ и данни, помпени станции на „Водоснабдяване“, ВЕИ и базови станции на мобилни оператори, намиращи се на територията на посоченoтo населено място и улици
Публикувано на 30.07.2024 14:06"
Русе,На 09.08.2024 г. В периода 09:00 ч. до 15:00 ч.,"Поради извършване на неотложни ремонтни дейности на съоръженията за доставка на електроенергия , ще бъде прекъснато електрозахранването в районите на: гр. Мартен, БКТП 15, улиците: „СВ.СВ. Кирил и Методий“, „Мизия“, „Страхил войвода“, „Тулча“, „Ясна поляна“, включително кабелни оператори за ТВ и данни, помпени станции на „Водоснабдяване“, ВЕИ и базови станции на мобилни оператори, намиращи се на територията на посоченoтo населено място и улици
Публикувано на 06.08.2024 11:45"
Силистра,от 08.08.2024 г. до 09.08.2024 г. В периода 09:00 ч. до 16:30 ч.,"Поради извършване на неотложни ремонтни дейности на съоръженията за доставка на електроенергия , са възможни смущения на електрозахранването в районите на: с. Кайнарджа
Публикувано на 30.07.2024 09:44"
Търговище,от 05.08.2024 г. до 09.08.2024 г. В периода 09:00 ч. до 17:00 ч.,"Поради извършване на неотложни ремонтни дейности на съоръженията за доставка на електроенергия , ще бъде прекъснато електрозахранването в районите на: с. Малка Черковна (СТП-1), общ. Антоново
Публикувано на 01.08.2024 09:47"
Търговище,от 06.08.2024 г. до 09.08.2024 г. В периода 08:30 ч. до 16:30 ч.,"Поради извършване на обезопасяване на съоръженията за доставка на електроенергия , ще бъде прекъснато електрозахранването в районите на: с. Александрово, общ. Търговище
Публикувано на 01.08.2024 11:23"
